LC,LC-title,Element_no,P[kN],Shear_key
289,4043,Shear keys - W - remaining,5100002,-0.2,Shear_key3
290,4043,Shear keys - W - remaining,5100003,-0.1,Shear_key3
291,4043,Shear keys - W - remaining,5100004,0.1,Shear_key4
292,4043,Shear keys - W - remaining,5100005,0.1,Shear_key4
293,4043,Shear keys - W - remaining,5100006,0.1,Shear_key4
294,4043,Shear keys - W - remaining,5100007,0.0,Shear_key1
295,4043,Shear keys - W - remaining,5100008,0.0,Shear_key1
296,4043,Shear keys - W - remaining,5100009,0.0,Shear_key1
297,4043,Shear keys - W - remaining,5100010,0.0,Shear_key2
298,4043,Shear keys - W - remaining,5100011,0.0,Shear_key2
299,4043,Shear keys - W - remaining,5100012,0.0,Shear_key2
300,4043,Shear keys - W - remaining,10100001,-56.7,Shear_key20
301,4043,Shear keys - W - remaining,10100002,-73.2,Shear_key20
302,4043,Shear keys - W - remaining,10100003,-34.2,Shear_key20
303,4043,Shear keys - W - remaining,10100004,60.2,Shear_key19
304,4043,Shear keys - W - remaining,10100005,82.9,Shear_key19
305,4043,Shear keys - W - remaining,10100006,42.4,Shear_key19
306,4043,Shear keys - W - remaining,10100007,-51.8,Not_a_shear_key
307,4043,Shear keys - W - remaining,10100008,-56.7,Not_a_shear_key
308,4043,Shear keys - W - remaining,10100009,-32.7,Not_a_shear_key
309,4043,Shear keys - W - remaining,10100010,63.6,Shear_key9
310,4043,Shear keys - W - remaining,10100011,88.0,Shear_key9
311,4043,Shear keys - W - remaining,10100012,45.7,Shear_key9
312,4043,Shear keys - W - remaining,10100013,-52.5,Shear_key18
313,4043,Shear keys - W - remaining,10100014,-52.6,Shear_key18
314,4043,Shear keys - W - remaining,10100015,-26.9,Shear_key18
315,4043,Shear keys - W - remaining,10100016,72.2,Shear_key17
316,4043,Shear keys - W - remaining,10100017,103.9,Shear_key17
317,4043,Shear keys - W - remaining,10100018,57.6,Shear_key17
318,4043,Shear keys - W - remaining,10100019,-94.6,Shear_key16
319,4043,Shear keys - W - remaining,10100020,-104.1,Shear_key16
320,4043,Shear keys - W - remaining,10100021,-60.2,Shear_key16
321,4043,Shear keys - W - remaining,10100022,440.6,Shear_key15
322,4043,Shear keys - W - remaining,10100023,529.8,Shear_key15
323,4043,Shear keys - W - remaining,10100024,367.3,Shear_key15
324,4043,Shear keys - W - remaining,10100025,-56.7,Shear_key12
325,4043,Shear keys - W - remaining,10100026,-58.2,Shear_key12
326,4043,Shear keys - W - remaining,10100027,-30.0,Shear_key12
327,4043,Shear keys - W - remaining,10100028,79.8,Shear_key11
328,4043,Shear keys - W - remaining,10100029,117.6,Shear_key11
329,4043,Shear keys - W - remaining,10100030,65.8,Shear_key11
330,4043,Shear keys - W - remaining,10100031,-106.0,Shear_key14
331,4043,Shear keys - W - remaining,10100032,-116.3,Shear_key14
332,4043,Shear keys - W - remaining,10100033,-68.1,Shear_key14
333,4043,Shear keys - W - remaining,10100034,158.7,Shear_key13
334,4043,Shear keys - W - remaining,10100035,248.0,Shear_key13
335,4043,Shear keys - W - remaining,10100036,147.9,Shear_key13
336,4043,Shear keys - W - remaining,15100001,-0.1,Shear_key24
337,4043,Shear keys - W - remaining,15100002,-0.2,Shear_key24
338,4043,Shear keys - W - remaining,15100003,-0.2,Shear_key24
339,4043,Shear keys - W - remaining,15100004,0.1,Shear_key21
340,4043,Shear keys - W - remaining,15100005,0.1,Shear_key21
341,4043,Shear keys - W - remaining,15100006,0.1,Shear_key21
342,4043,Shear keys - W - remaining,15100007,0.0,Shear_key22
343,4043,Shear keys - W - remaining,15100008,-0.1,Shear_key22
344,4043,Shear keys - W - remaining,15100009,-0.1,Shear_key22
345,4043,Shear keys - W - remaining,15100010,0.2,Shear_key23
346,4043,Shear keys - W - remaining,15100011,0.4,Shear_key23
347,4043,Shear keys - W - remaining,15100012,0.4,Shear_key23
348,4043,Shear keys - W - remaining,20100001,0.1,Shear_key7
349,4043,Shear keys - W - remaining,20100002,0.1,Shear_key7
350,4043,Shear keys - W - remaining,20100003,0.1,Shear_key7
351,4043,Shear keys - W - remaining,20100004,-0.1,Shear_key8
352,4043,Shear keys - W - remaining,20100005,-0.1,Shear_key8
353,4043,Shear keys - W - remaining,20100006,0.0,Shear_key8
354,4043,Shear keys - W - remaining,20100007,0.0,Shear_key5
355,4043,Shear keys - W - remaining,20100008,-0.1,Shear_key5
356,4043,Shear keys - W - remaining,20100009,-0.1,Shear_key5
357,4043,Shear keys - W - remaining,20100010,0.0,Shear_key6
358,4043,Shear keys - W - remaining,20100011,0.0,Shear_key6
359,4043,Shear keys - W - remaining,20100012,0.0,Shear_key6
360,4044,Top slab- beam shear keys activa,5100001,-79.1,Shear_key3
361,4044,Top slab- beam shear keys activa,5100002,-131.6,Shear_key3
362,4044,Top slab- beam shear keys activa,5100003,-83.2,Shear_key3
363,4044,Top slab- beam shear keys activa,5100004,47.9,Shear_key4
364,4044,Top slab- beam shear keys activa,5100005,54.4,Shear_key4
365,4044,Top slab- beam shear keys activa,5100006,41.0,Shear_key4
366,4044,Top slab- beam shear keys activa,5100007,-70.1,Shear_key1
367,4044,Top slab- beam shear keys activa,5100008,-129.6,Shear_key1
368,4044,Top slab- beam shear keys activa,5100009,-84.4,Shear_key1
369,4044,Top slab- beam shear keys activa,5100010,55.7,Shear_key2
370,4044,Top slab- beam shear keys activa,5100011,68.8,Shear_key2
371,4044,Top slab- beam shear keys activa,5100012,49.3,Shear_key2
372,4044,Top slab- beam shear keys activa,10100001,-54.3,Shear_key20
373,4044,Top slab- beam shear keys activa,10100002,-71.9,Shear_key20
374,4044,Top slab- beam shear keys activa,10100003,-35.1,Shear_key20
375,4044,Top slab- beam shear keys activa,10100004,57.2,Shear_key19
376,4044,Top slab- beam shear keys activa,10100005,80.3,Shear_key19
377,4044,Top slab- beam shear keys activa,10100006,42.4,Shear_key19
378,4044,Top slab- beam shear keys activa,10100007,-49.1,Not_a_shear_key
379,4044,Top slab- beam shear keys activa,10100008,-55.2,Not_a_shear_key
380,4044,Top slab- beam shear keys activa,10100009,-33.3,Not_a_shear_key
381,4044,Top slab- beam shear keys activa,10100010,59.9,Shear_key9
382,4044,Top slab- beam shear keys activa,10100011,84.6,Shear_key9
383,4044,Top slab- beam shear keys activa,10100012,45.4,Shear_key9
384,4044,Top slab- beam shear keys activa,10100013,-49.5,Shear_key18
385,4044,Top slab- beam shear keys activa,10100014,-51.0,Shear_key18
386,4044,Top slab- beam shear keys activa,10100015,-27.6,Shear_key18
387,4044,Top slab- beam shear keys activa,10100016,69.6,Shear_key17
388,4044,Top slab- beam shear keys activa,10100017,103.8,Shear_key17
389,4044,Top slab- beam shear keys activa,10100018,60.1,Shear_key17
390,4044,Top slab- beam shear keys activa,10100019,-90.5,Shear_key16
391,4044,Top slab- beam shear keys activa,10100020,-101.3,Shear_key16
392,4044,Top slab- beam shear keys activa,10100021,-60.3,Shear_key16
393,4044,Top slab- beam shear keys activa,10100022,428.9,Shear_key15
394,4044,Top slab- beam shear keys activa,10100023,525.9,Shear_key15
395,4044,Top slab- beam shear keys activa,10100024,372.8,Shear_key15
396,4044,Top slab- beam shear keys activa,10100025,-53.5,Shear_key12
397,4044,Top slab- beam shear keys activa,10100026,-56.4,Shear_key12
398,4044,Top slab- beam shear keys activa,10100027,-30.7,Shear_key12
399,4044,Top slab- beam shear keys activa,10100028,77.1,Shear_key11
400,4044,Top slab- beam shear keys activa,10100029,117.4,Shear_key11
401,4044,Top slab- beam shear keys activa,10100030,68.3,Shear_key11
402,4044,Top slab- beam shear keys activa,10100031,-101.9,Shear_key14
403,4044,Top slab- beam shear keys activa,10100032,-113.6,Shear_key14
404,4044,Top slab- beam shear keys activa,10100033,-68.2,Shear_key14
405,4044,Top slab- beam shear keys activa,10100034,154.7,Shear_key13
406,4044,Top slab- beam shear keys activa,10100035,246.1,Shear_key13
407,4044,Top slab- beam shear keys activa,10100036,149.7,Shear_key13
408,4044,Top slab- beam shear keys activa,15100001,-16.8,Shear_key24
409,4044,Top slab- beam shear keys activa,15100002,-21.7,Shear_key24
410,4044,Top slab- beam shear keys activa,15100003,-15.5,Shear_key24
411,4044,Top slab- beam shear keys activa,15100004,18.1,Shear_key21
412,4044,Top slab- beam shear keys activa,15100005,27.0,Shear_key21
413,4044,Top slab- beam shear keys activa,15100006,15.7,Shear_key21
414,4044,Top slab- beam shear keys activa,15100007,-16.2,Shear_key22
